33D-93803,TYFO-ROUTER-3016,220.128.0.46,CLPY-ROUTER-3302,220.128.33.44,10000,100,100
223E-93683,TPDT-ROUTER-3012,220.128.0.92,CLPY-ROUTER-3302,220.128.33.44,10000,160,160
33D-95495,TYFO-ROUTER-3016,220.128.0.46,CLPY-ROUTER-3302,220.128.33.44,10000,100,100
33D-94059,TYFO-ROUTER-3016,220.128.0.46,CLPY-ROUTER-3302,220.128.33.44,10000,100,100
33D-94188,TYFO-ROUTER-3016,220.128.0.46,CLPY-ROUTER-3302,220.128.33.44,10000,100,100
HB11300065,SHGS-ROUTER-3301,220.128.33.113,SHGS-ROUTER-3302,220.128.33.114,10000,10,10
295D-96521,PCPD-ROUTER-3212,220.128.0.64,SHGS-ROUTER-3302,220.128.33.114,10000,270,270
295D-96522,PCPD-ROUTER-3212,220.128.0.64,SHGS-ROUTER-3302,220.128.33.114,10000,270,270
33E-90641B,TYFO-ROUTER-3016,220.128.0.46,SHGS-ROUTER-3302,220.128.33.114,10000,100,100
223D-91407,TPDT-ROUTER-3012,220.128.0.92,SHGS-ROUTER-3302,220.128.33.114,10000,160,160
33E-90435,TYFO-ROUTER-3015,220.128.0.45,SHGS-ROUTER-3302,220.128.33.114,10000,100,100
223D-95863,TPDT-ROUTER-3012,220.128.0.92,SHGS-ROUTER-3302,220.128.33.114,10000,160,160
HB10101801,TPDT-ROUTER-3011,220.128.0.91,TPDB-ROUTER-3317,220.128.33.21,10000,100,100
HB10101802,TPDT-ROUTER-3012,220.128.0.92,TPDB-ROUTER-3317,220.128.33.21,10000,100,100
HB10102117,TPDT-ROUTER-3011,220.128.0.91,TPDB-ROUTER-3317,220.128.33.21,10000,100,100
HB10102119,TPDT-ROUTER-3012,220.128.0.92,TPDB-ROUTER-3317,220.128.33.21,10000,100,100
HB30900031,TTML-ROUTER-3301,220.128.0.233,TTML-ROUTER-3302,220.128.0.234,10000,10,10
223E-93528,TPDT-ROUTER-3012,220.128.0.92,TTML-ROUTER-3302,220.128.0.234,10000,160,160
72E-96196,SKC1-ROUTER-3012,220.128.0.200,TTML-ROUTER-3302,220.128.0.234,10000,160,160
HB10101348,TPDT-ROUTER-3011,220.128.0.91,TPDT-ROUTER-4106,220.128.0.4,10000,100,100
HB10102074,TPDT-ROUTER-3011,220.128.0.91,TPDT-ROUTER-4106,220.128.0.4,10000,100,100
HB10101353,TPDT-ROUTER-3012,220.128.0.92,TPDT-ROUTER-4106,220.128.0.4,10000,100,100
HB10101352,TPDT-ROUTER-3012,220.128.0.92,TPDT-ROUTER-4106,220.128.0.4,10000,100,100
HB10101349,TPDT-ROUTER-3011,220.128.0.91,TPDT-ROUTER-4106,220.128.0.4,10000,100,100
HB10102075,TPDT-ROUTER-3012,220.128.0.92,TPDT-ROUTER-4106,220.128.0.4,10000,100,100
223E-93483,TPDT-ROUTER-3012,220.128.0.92,KMKC-ROUTER-3302,220.128.0.248,10000,260,260
HB30800023,KMKC-ROUTER-3301,220.128.0.247,KMKC-ROUTER-3302,220.128.0.248,10000,10,10
72E-95722,SKC1-ROUTER-3012,220.128.0.200,KMKC-ROUTER-3302,220.128.0.248,1000,1000,2000
HB10101796,TPDB-ROUTER-3315,220.128.33.19,TPDB-ROUTER-3316,220.128.33.20,10000,100,100
HB10102668,TPDT-ROUTER-3022,220.128.0.94,TPDB-ROUTER-3316,220.128.33.20,100000,100,100
HB10102666,TPDB-ROUTER-3021,220.128.0.93,TPDB-ROUTER-3316,220.128.33.20,100000,100,100
HB21100087,TLHN-ROUTER-3301,220.128.33.165,TLHN-ROUTER-3302,220.128.33.166,1000,1000,1000
HB21100134,TLHN-ROUTER-3301,220.128.33.165,TLHN-ROUTER-3302,220.128.33.166,10000,10,10
42E-92310,TCHN-ROUTER-3012,220.128.0.140,TLHN-ROUTER-3302,220.128.33.166,10000,160,160
42E-92362B,TCHN-ROUTER-3012,220.128.0.140,TLHN-ROUTER-3302,220.128.33.166,10000,160,160
47E-90578,CHCH-ROUTER-3012,220.128.0.180,TLHN-ROUTER-3302,220.128.33.166,10000,160,160
47E-90621,CHCH-ROUTER-3012,220.128.0.180,TLHN-ROUTER-3302,220.128.33.166,10000,160,160
47E-90430,CHCH-ROUTER-3012,220.128.0.180,TLHN-ROUTER-3302,220.128.33.166,10000,160,160
42E-92384,TCHN-ROUTER-3012,220.128.0.140,TLHN-ROUTER-3302,220.128.33.166,10000,160,160
HB10102691,TPDT-ROUTER-3022,220.128.0.94,TPDT-ROUTER-4101,220.128.0.5,100000,90,90
